variant,pair_label,fast_window,slow_window,threshold_label,threshold_pct,volume_label,use_volume_filter,volume_window,volume_multiplier,signal_column,total_active_signals,correct_signals,directional_accuracy,hit_rate,meets_min_active_signals
SMA20/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,53,34,64.15094339622641,63.541666666666664,True
SMA20/SMA50 | Threshold 0.50% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p005_NOVOL_Signal,35,21,60.0,60.9375,True
SMA20/SMA50 | No Threshold | Volume >= VolMA20,SMA20/SMA50,20,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p0_VOL_Signal,80,46,57.49999999999999,57.0048309178744,True
SMA20/SMA50 | Threshold 0.10% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p001_NOVOL_Signal,134,76,56.71641791044776,57.21649484536083,True
SMA20/SMA50 | No Threshold | No Volume Filter,SMA20/SMA50,20,50,No Threshold,0.0,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p0_NOVOL_Signal,194,108,55.670103092783506,59.23611111111111,True
SMA20/SMA50 | Threshold 0.25% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p0025_NOVOL_Signal,74,39,52.702702702702695,55.932203389830505,True
SMA10/SMA50 | No Threshold | Volume >= VolMA20,SMA10/SMA50,10,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p0_VOL_Signal,103,54,52.42718446601942,56.44444444444444,True
SMA10/SMA50 | Threshold 0.50% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p005_NOVOL_Signal,76,39,51.31578947368421,48.56321839080459,True
SMA10/SMA50 | No Threshold | No Volume Filter,SMA10/SMA50,10,50,No Threshold,0.0,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p0_NOVOL_Signal,231,114,49.35064935064935,52.53443526170799,True
SMA10/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p001_VOL_Signal,78,38,48.717948717948715,49.72677595628416,True
SMA10/SMA50 | Threshold 0.25% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p0025_VOL_Signal,58,28,48.275862068965516,48.91304347826087,True
SMA10/SMA50 | Threshold 0.25% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p0025_NOVOL_Signal,121,58,47.93388429752066,47.00374531835206,True
SMA10/SMA50 | Threshold 0.50% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p005_VOL_Signal,38,18,47.368421052631575,46.875,True
SMA10/SMA50 | Threshold 0.10% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p001_NOVOL_Signal,182,86,47.25274725274725,47.73391812865497,True
