sektor,window_id,indicator,da_in_sample,da_out_sample
Energi,1,MA Crossover,51.724137931034484,66.66666666666666
Energi,2,MA Crossover,58.620689655172406,62.5
Energi,3,MA Crossover,63.63636363636363,63.63636363636363
Energi,4,MA Crossover,64.28571428571429,83.33333333333334
Finansial,1,MA Crossover,43.333333333333336,55.55555555555556
Finansial,2,MA Crossover,46.666666666666664,45.0
Finansial,3,MA Crossover,51.28205128205128,57.14285714285714
Finansial,4,RSI,55.73770491803278,38.23529411764706
Industri,1,MA Crossover,50.0,70.0
Industri,2,MA Crossover,61.904761904761905,87.5
Industri,3,MA Crossover,72.72727272727273,50.0
Industri,4,MA Crossover,68.75,47.368421052631575
Teknologi,1,RSI,52.72727272727272,47.05882352941176
Teknologi,2,MA Crossover,51.61290322580645,60.0
Teknologi,3,MA Crossover,58.82352941176471,33.33333333333333
Teknologi,4,MA Crossover,45.45454545454545,80.0
