ticker,ticker_yfinance,sektor,status_fetch,jumlah_data,tanggal_awal,tanggal_akhir,kolom_ohlcv_lengkap,error_message
BBCA,BBCA.JK,Finansial,SUCCESS,381,2024-10-21,2026-05-29,True,
BBRI,BBRI.JK,Finansial,SUCCESS,381,2024-10-21,2026-05-29,True,
BMRI,BMRI.JK,Finansial,SUCCESS,381,2024-10-21,2026-05-29,True,
SMMA,SMMA.JK,Finansial,SUCCESS,381,2024-10-21,2026-05-29,True,
DNET,DNET.JK,Finansial,SUCCESS,381,2024-10-21,2026-05-29,True,
BBNI,BBNI.JK,Finansial,SUCCESS,381,2024-10-21,2026-05-29,True,
BNLI,BNLI.JK,Finansial,SUCCESS,381,2024-10-21,2026-05-29,True,
CASA,CASA.JK,Finansial,SUCCESS,381,2024-10-21,2026-05-29,True,
BRIS,BRIS.JK,Finansial,SUCCESS,381,2024-10-21,2026-05-29,True,
MEGA,MEGA.JK,Finansial,SUCCESS,381,2024-10-21,2026-05-29,True,
ASII,ASII.JK,Industri,SUCCESS,381,2024-10-21,2026-05-29,True,
IMPC,IMPC.JK,Industri,SUCCESS,381,2024-10-21,2026-05-29,True,
UNTR,UNTR.JK,Industri,SUCCESS,381,2024-10-21,2026-05-29,True,
BNBR,BNBR.JK,Industri,SUCCESS,381,2024-10-21,2026-05-29,True,
SUNI,SUNI.JK,Industri,SUCCESS,381,2024-10-21,2026-05-29,True,
JTPE,JTPE.JK,Industri,SUCCESS,381,2024-10-21,2026-05-29,True,
HEXA,HEXA.JK,Industri,SUCCESS,381,2024-10-21,2026-05-29,True,
VISI,VISI.JK,Industri,SUCCESS,381,2024-10-21,2026-05-29,True,
MARK,MARK.JK,Industri,SUCCESS,381,2024-10-21,2026-05-29,True,
ARNA,ARNA.JK,Industri,SUCCESS,381,2024-10-21,2026-05-29,True,
DCII,DCII.JK,Teknologi,SUCCESS,381,2024-10-21,2026-05-29,True,
GOTO,GOTO.JK,Teknologi,SUCCESS,381,2024-10-21,2026-05-29,True,
BELI,BELI.JK,Teknologi,SUCCESS,381,2024-10-21,2026-05-29,True,
MLPT,MLPT.JK,Teknologi,SUCCESS,381,2024-10-21,2026-05-29,True,
EMTK,EMTK.JK,Teknologi,SUCCESS,381,2024-10-21,2026-05-29,True,
BUKA,BUKA.JK,Teknologi,SUCCESS,381,2024-10-21,2026-05-29,True,
WIFI,WIFI.JK,Teknologi,SUCCESS,381,2024-10-21,2026-05-29,True,
CYBR,CYBR.JK,Teknologi,SUCCESS,381,2024-10-21,2026-05-29,True,
MTDL,MTDL.JK,Teknologi,SUCCESS,381,2024-10-21,2026-05-29,True,
MSTI,MSTI.JK,Teknologi,SUCCESS,381,2024-10-21,2026-05-29,True,
BYAN,BYAN.JK,Energi,SUCCESS,381,2024-10-21,2026-05-29,True,
DSSA,DSSA.JK,Energi,SUCCESS,381,2024-10-21,2026-05-29,True,
CUAN,CUAN.JK,Energi,SUCCESS,381,2024-10-21,2026-05-29,True,
ADRO,ADRO.JK,Energi,SUCCESS,381,2024-10-21,2026-05-29,True,
ADMR,ADMR.JK,Energi,SUCCESS,381,2024-10-21,2026-05-29,True,
BUMI,BUMI.JK,Energi,SUCCESS,381,2024-10-21,2026-05-29,True,
TCPI,TCPI.JK,Energi,SUCCESS,381,2024-10-21,2026-05-29,True,
PTRO,PTRO.JK,Energi,SUCCESS,381,2024-10-21,2026-05-29,True,
GEMS,GEMS.JK,Energi,SUCCESS,381,2024-10-21,2026-05-29,True,
PGAS,PGAS.JK,Energi,SUCCESS,381,2024-10-21,2026-05-29,True,
