sektor,ticker,ticker_yfinance,windows_count
Energi,ADMR,ADMR.JK,4
Energi,ADRO,ADRO.JK,4
Energi,BUMI,BUMI.JK,4
Energi,BYAN,BYAN.JK,4
Energi,CUAN,CUAN.JK,4
Energi,DSSA,DSSA.JK,4
Energi,GEMS,GEMS.JK,4
Energi,PGAS,PGAS.JK,4
Energi,PTRO,PTRO.JK,4
Energi,TCPI,TCPI.JK,4
Finansial,BBCA,BBCA.JK,4
Finansial,BBNI,BBNI.JK,4
Finansial,BBRI,BBRI.JK,4
Finansial,BMRI,BMRI.JK,4
Finansial,BNLI,BNLI.JK,4
Finansial,BRIS,BRIS.JK,4
Finansial,CASA,CASA.JK,4
Finansial,DNET,DNET.JK,4
Finansial,MEGA,MEGA.JK,4
Finansial,SMMA,SMMA.JK,4
Industri,ARNA,ARNA.JK,4
Industri,ASII,ASII.JK,4
Industri,BNBR,BNBR.JK,4
Industri,HEXA,HEXA.JK,4
Industri,IMPC,IMPC.JK,4
Industri,JTPE,JTPE.JK,4
Industri,MARK,MARK.JK,4
Industri,SUNI,SUNI.JK,4
Industri,UNTR,UNTR.JK,4
Industri,VISI,VISI.JK,4
Teknologi,BELI,BELI.JK,4
Teknologi,BUKA,BUKA.JK,4
Teknologi,CYBR,CYBR.JK,4
Teknologi,DCII,DCII.JK,4
Teknologi,EMTK,EMTK.JK,4
Teknologi,GOTO,GOTO.JK,4
Teknologi,MLPT,MLPT.JK,4
Teknologi,MSTI,MSTI.JK,4
Teknologi,MTDL,MTDL.JK,4
Teknologi,WIFI,WIFI.JK,4
